Designator,Value,Description,Manufacturer,Part Symbol,Quantity

"C1","22u","Tantalum SMT Capacitor 22uF Case KEMET_C","KEMET","T491C226K025AT","1"
"C2","470n/16V","MLCC SMT Capacitor 470nF 0402 16V","TDK","C1005X5R1C474K050BC","1"
"C3, C4","47u","MLCC SMT Capacitor 47uF 1206","MURATA","GRM31CC80J476KE18L","2"
"C5","10p","MLCC SMT Capacitor 10pF 0402","MULTICOMP","MC0402N100D500CT","1"
"C6","10n","MLCC SMT Capacitor 10nF 0402","AVX","04025G103ZAT2A","1"
"C7","470p","MLCC SMT Capacitor 470pF 0402","MULTICOMP","MC0402B471J500CT","1"
"C15","10u","Tantalum SMT Capacitor 10uF Case KEMET_C","KEMET","T491C106K025AT","1"
"C16","10u","Tantalum SMT Capacitor 10uF Case KEMET_A","VISHAY","293D106X9016A2TE3","1"
"C18, C19, C20","100n","MLCC SMT Capacitor 100nF 0402","MULTICOMP","MC0402X104M100CT","3"
"C28, C61","100n","MLCC SMT Capacitor 100nF 0603","WALSIN","0603B104K500CT","2"
"D1","MBRS540T3G","ON SEMICONDUCTOR  MBRS540T3G  Rectifier Diode, Single, 40 V, 5 A, 500 mV, 190 A","ON SEMICONDUCTOR","MBRS540T3G","1"
"IC1","TCA9548ARGER","TCA9548ARGER  I2C SWITCH W/ RESET, 8-CH, VQFN-24","TEXAS INSTRUMENTS","TCA9548ARGER","1"
"IC4","LT3976EMSE#PBF","LINEAR TECHNOLOGY  LT3976EMSE#PBF  DC-DC CONVERTER, 2MHZ, 5A, MSOP-16","LINEAR TECHNOLOGY","LT3976EMSE#PBF","1"
"IC6","NCV1117ST50T3G","ON SEMICONDUCTOR  NCV1117ST50T3G  Fixed LDO Voltage Regulator, 20V in, 1.07V Dropout, 5V/1A out, SOT-223-3","ON SEMICONDUCTOR","NCV1117ST50T3G","1"
"IC7","NTS0104PW","4 bit voltage level translator","NXP","NTS0104PW","1"
"IC14","TCA9554A","Remote 8bit I2C SMBus I/O expander","Texas Instruments","TCA9554A","1"
"IC15","RM24C128DS-LTAI-B","EEPROM with UID and OTP registers.","Adesto","RM24C128DS-LTAI-B","1"
"J1, J2, J3","68715014522","0.50mm SMT ZIF Horizontal Bottom Contact WR-FPC","WURTH ELEKTRONIK","68715014522","3"
"J6","QTE-040-03-L-D-A","SAMTEC  QTE-040-03-L-D-A  Stacking Board Connector, Dual Row, QTE Series, 80 Contacts, Header, 0.8 mm, Surface Mount","SAMTEC","QTE-040-03-L-D-A","1"
"L1","74437346033","3.3 uH, 5.0A, 0.03 ohm, SMD Power Inductor","WURTH ELEKTRONIK","74437346033","1"
"LED1","LED-LiteON-LTST-S326KGJRKT","Standard LEDs - SMD Green/Red Clear 571nm/631nm","Lite-On","LTST-S326KGJRKT","1"
"Q1","Si1922EDH","20 V, dual N-channel Trench MOSFET","Vishay","Si1922EDH","1"
"R2, R7","470R","SMT Resistor 470R 0603","BOURNS","CR0603-JW-471GLF","2"
"R3","1M","SMT Resistor 1M 0603 0.1%","TE","CPF0603B1M0E","1"
"R4","130k","SMT Resistor 2R 0402","MULTICOMP","MCMR04X1303FTL","1"
"R5","2R","SMT Resistor 2R 0402","MULTICOMP","MC00625W040212R0","1"
"R6","576k","SMT Resistor 576k 0805 0.1%","PANASONIC ELECTRONIC COMPONENTS","ERA-6AEB5763V","1"
"R16, R17, R18, R19, R24, R25, R27, R31, R32, R39, R40, R54, R76, R77","2k","SMT Resistor 2k 0603","MULTICOMP","MCMR06X2001FTL","14"
"R42, R43, R47","2k2","SMT Resistor 2k2 0603","MULTICOMP","MCMR06X2201FTL","3"
"R49, R51, R53, R56, R58, R60, R62, R64, R66, R69, R70","0R","SMT Resistor 0402","MULTICOMP","MCMR04X000 PTL","11"
"R72, R73, R74, R75","0R","SMT Resistor 0R 0603","BOURNS","CR0603-J/-000ELF","4"
"SP1, SP2, SP3, SP4","9774030960R","ROUND SPACER STEEL 3MM unthreaded","WURTH ELEKTRONIK","9774030960","4"
